topology,ny_variant,V,eta,theta,r0,delta_V,stability_type
S3,FULL,4.0,-1.0,5.0,24.96244334522179,815072.9535423726,type-I
S3,FULL,4.0,0.0,0.0,,,type-III
S3,FULL,4.0,0.0,1.0,3.322875877872529,974.7281225290315,type-I
S3,FULL,4.0,0.0,2.0,7.708099421865327,21470.19992696831,type-I
S3,FULL,4.0,0.0,3.0,11.809473952115402,82505.1832603876,type-I
S3,FULL,4.0,0.0,4.0,15.85811717000774,204292.1288625882,type-I
S3,FULL,4.0,0.0,5.0,19.886860878404953,406937.8042402732,type-I
S3,FULL,4.0,1.0,0.0,,,type-III
S3,FULL,4.0,1.0,1.0,,,type-III
S3,FULL,4.0,1.0,2.0,5.250001073911041,4796.4159629596215,type-I
S3,FULL,4.0,1.0,3.0,8.538873506949354,27720.31550481339,type-I
S3,FULL,4.0,1.0,4.0,11.662374571935267,76441.44190278146,type-I
S3,FULL,4.0,1.0,5.0,14.732737900699233,159188.08220202086,type-I
S3,FULL,4.0,2.0,0.0,,,type-III
S3,FULL,4.0,2.0,1.0,,,type-III
S3,FULL,4.0,2.0,2.0,,,type-III
S3,FULL,4.0,2.0,3.0,4.732050929034115,2187.0330900738854,type-I
S3,FULL,4.0,2.0,4.0,7.162278479189295,13308.67399667319,type-I
S3,FULL,4.0,2.0,5.0,9.35889926630382,34875.11678705324,type-I
S3,FULL,4.0,3.0,0.0,,,type-III
S3,FULL,4.0,3.0,1.0,,,type-III
S3,FULL,4.0,3.0,2.0,,,type-III
S3,FULL,4.0,3.0,3.0,,,type-III
S3,FULL,4.0,3.0,4.0,,,type-III
S3,FULL,4.0,3.0,5.0,,,type-III
S3,FULL,4.0,4.0,0.0,,,type-III
S3,FULL,4.0,4.0,1.0,,,type-III
S3,FULL,4.0,4.0,2.0,,,type-III
S3,FULL,4.0,4.0,3.0,,,type-III
S3,FULL,4.0,4.0,4.0,,,type-III
S3,FULL,4.0,4.0,5.0,,,type-III
S3,FULL,4.0,5.0,0.0,,,type-III
S3,FULL,4.0,5.0,1.0,,,type-III
S3,FULL,4.0,5.0,2.0,,,type-III
S3,FULL,4.0,5.0,3.0,,,type-III
S3,FULL,4.0,5.0,4.0,,,type-III
S3,FULL,4.0,5.0,5.0,,,type-III
S3,FULL,5.0,-5.0,0.0,0.6000002440110912,69.28478738903632,type-II
S3,FULL,5.0,-5.0,1.0,7.249657866761114,31979.985213912645,type-II
S3,FULL,5.0,-5.0,2.0,14.424956766366794,248145.6281213427,type-II
S3,FULL,5.0,-5.0,3.0,21.616654997542216,832693.7458352013,type-II
S3,FULL,5.0,-5.0,4.0,28.812495928798263,1969813.747820618,type-II
S3,FULL,5.0,-5.0,5.0,36.00999853978939,3843695.9182667085,type-II
S3,FULL,5.0,-4.0,0.0,0.692820365244312,107.0372595862145,type-II
S3,FULL,5.0,-4.0,1.0,6.474140606979259,23082.739023086076,type-II
S3,FULL,5.0,-4.0,2.0,12.83739115738797,175517.52919747686,type-II
S3,FULL,5.0,-4.0,3.0,19.224967587703503,586680.9843693784,type-II
S3,FULL,5.0,-4.0,4.0,25.618734832508544,1385933.811590201,type-II
S3,FULL,5.0,-4.0,5.0,32.01499299307441,2702638.4491692726,type-II
S3,FULL,5.0,-3.0,0.0,0.6000002440110912,69.28478738903632,type-II
S3,FULL,5.0,-3.0,1.0,5.663564534569979,15442.445944791489,type-II
S3,FULL,5.0,-3.0,2.0,11.23205001393441,117541.20566379014,type-II
S3,FULL,5.0,-3.0,3.0,16.82140005083282,392967.879754321,type-II
S3,FULL,5.0,-3.0,4.0,22.416060625289372,928384.0937856334,type-II
S3,FULL,5.0,-3.0,5.0,28.012852256991334,1810452.5868590034,type-II
S3,FULL,5.0,-2.0,0.0,,,type-III
S3,FULL,5.0,-2.0,1.0,4.800001548290151,9095.709145281708,type-II
S3,FULL,5.0,-2.0,2.0,9.600000447878028,72766.38262233892,type-II
